模拟规模,期权种类,期权参数,期权价格,期权误差,95%误差上限,95%误差下限,运行时间(s)
欧式看涨期权,S0: 100;K: 100;V: 0.2;R: 0.05;T: 1;模拟次数：4096;时间步数：300;,0.459223,0.0103709,0.438896,0.47955, 0.000167,
,欧式看跌期权,,0.432044,0.00989852,0.412643,0.451445, 0.000116,
,浮动亚式看涨期权,,5.95154,0.131723,5.69336,6.20972, 0.000321,
,浮动亚式看跌期权,,3.16302,0.0763599,3.01336,3.31269, 0.000275,
,固定亚式看涨期权,,5.59894,0.119989,5.36376,5.83412, 0.00028,
,固定亚式看跌期权,,3.40486,0.0839492,3.24032,3.5694, 0.000271,
,浮动价格回望看涨期权,,16.6512,0.222877,16.2143,17.088, 0.000291,
,浮动价格回望看跌期权,,13.4583,0.153096,13.1582,13.7584, 0.000281,
,固定价格回望看涨期权,,18.4409,0.234096,17.9821,18.8997, 0.00028,
,固定价格回望看跌期权,,11.6686,0.13967,11.3948,11.9423, 0.00028,
,向上敲入巴黎看涨期权,S0: 12;K: 10;V: 0.2;R: 0.05;T: 1;,2.46099,0.0365408,2.38937,2.53261, 0.000434,
,向上敲出巴黎看涨期权,,0.162061,0.00754171,0.147279,0.176842, 0.00043,
,向下敲入巴黎看涨期权,S0: 12;K: 10;V: 0.2;R: 0.05;T: 1;,1.10126,0.0244439,1.05335,1.14917, 0.000437,
,向下敲出巴黎看涨期权,,1.52179,0.0376388,1.44802,1.59557, 0.00043,
,欧式看涨期权,S0: 100;K: 100;V: 0.2;R: 0.05;T: 1;模拟次数：16384;时间步数：300;,0.444193,0.00508835,0.43422,0.454166, 0.000226,
,欧式看跌期权,,0.432967,0.00491715,0.423329,0.442605, 0.000153,
,浮动亚式看涨期权,,6.06283,0.0666658,5.93217,6.1935, 0.000408,
,浮动亚式看跌期权,,3.20112,0.0391395,3.1244,3.27783, 0.000348,
,固定亚式看涨期权,,5.55155,0.0608039,5.43238,5.67073, 0.000342,
,固定亚式看跌期权,,3.48824,0.04191,3.4061,3.57039, 0.000341,
,浮动价格回望看涨期权,,16.7072,0.112895,16.486,16.9285, 0.000362,
,浮动价格回望看跌期权,,13.3937,0.0767196,13.2433,13.5441, 0.000351,
,固定价格回望看涨期权,,18.3187,0.118877,18.0857,18.5517, 0.000355,
,固定价格回望看跌期权,,11.7822,0.0699228,11.6452,11.9193, 0.000348,
,向上敲入巴黎看涨期权,S0: 12;K: 10;V: 0.2;R: 0.05;T: 1;,2.44942,0.0184325,2.4133,2.48555, 0.000492,
,向上敲出巴黎看涨期权,,0.170286,0.00389449,0.162653,0.177919, 0.000492,
,向下敲入巴黎看涨期权,S0: 12;K: 10;V: 0.2;R: 0.05;T: 1;,1.12896,0.0124324,1.1046,1.15333, 0.000489,
,向下敲出巴黎看涨期权,,1.49075,0.0188286,1.45384,1.52765, 0.000488,
